I 08/19/2011 14:05:07:179 00001d54                  APP| [Debugger] Unable to open connection to debugger: #<Errno::ECONNREFUSED: No connection could be made because the target machine actively refused it. - connect(2)>
I 08/19/2011 14:05:07:179 00001d54                  APP| RHO loaded
I 08/19/2011 14:05:07:179 00001d54                  APP| Calling RHO.initialize
I 08/19/2011 14:05:07:179 00001d54              RhoRuby| require_compiled: rhoappmanifest
I 08/19/2011 14:05:07:182 00001d54              RhoRuby| require_compiled: find
I 08/19/2011 14:05:07:194 00001d54                   DB| Open DB: C:/Users/ffurtmueller/workspace/git/MyDailyRhodes/MyDailyRhodes\rhosimulator/db/syncdbuser.sqlite
I 08/19/2011 14:05:07:197 00001d54            RhodesApp| Starting sync engine...
I 08/19/2011 14:05:07:197 00001d54                 Sync| sync_poll_interval: 0
I 08/19/2011 14:05:07:197 00001d54                 Sync| syncserver: http://localhost:9292/application
I 08/19/2011 14:05:07:197 00001d54                 Sync| bulksync_state: 0
I 08/19/2011 14:05:07:197 00001d54            RhodesApp| RhoRubyInitApp...
I 08/19/2011 14:05:07:197 00001d54                  APP| init_app
I 08/19/2011 14:05:07:197 00000d0c                 Sync| Starting main routine...
I 08/19/2011 14:05:07:197 00000d0c                 Sync| ThreadQueue blocked for 300 seconds...
I 08/19/2011 14:05:07:197 00001d54              RhoRuby| require_compiled: application
I 08/19/2011 14:05:07:199 00001d54                  APP| Current locale: de; Country code: at
I 08/19/2011 14:05:07:199 00001d54                  APP| Could not find resources for locale: de;file: C:/Users/ffurtmueller/workspace/git/MyDailyRhodes/MyDailyRhodes\app/lang/lang_
I 08/19/2011 14:05:07:199 00001d54                 Sync| Set notification. Source ID: -1;Url :http://127.0.0.1:54025/app/Settings/sync_notify; Params: 
I 08/19/2011 14:05:07:199 00001d54           HttpServer| Start HTTP server
I 08/19/2011 14:05:07:202 00001d54         AppCallbacks| addCommand: LOCAL-SERVER-STARTED
I 08/19/2011 14:05:07:202 0000193c         AppCallbacks| process command: LOCAL-SERVER-STARTED
I 08/19/2011 14:05:07:202 0000193c  SystemImpl.cpp: 650| rho_sys_report_app_started() has no implementation on Win Mobile.
I 08/19/2011 14:05:07:202 0000193c         AppCallbacks| process command: UI-CREATED
I 08/19/2011 14:05:07:202 0000193c                  Net| Method: GET;Url: http://127.0.0.1:54025/system/uicreated
I 08/19/2011 14:05:07:274 00001d54           HttpServer| Process URI: '/system/uicreated'
I 08/19/2011 14:05:07:274 00001d54                  APP| on_ui_created.navigate to start url: '/app'
I 08/19/2011 14:05:07:274 00001d60      MainWindowProxy| navigate: 'http://127.0.0.1:54025/app'
I 08/19/2011 14:05:07:274 0000193c         AppCallbacks| process command: APP-ACTIVATED
I 08/19/2011 14:05:07:274 00001d60           MainWindow| WebView: loading...
I 08/19/2011 14:05:07:274 0000193c                  Net| Method: GET;Url: http://127.0.0.1:54025/system/activateapp
I 08/19/2011 14:05:07:277 00001d54           HttpServer| Process URI: '/system/activateapp'
I 08/19/2011 14:05:07:277 0000193c         AppCallbacks| ThreadQueue blocked for 300 seconds...
I 08/19/2011 14:05:07:277 00001d54           HttpServer| Process URI: '/app'
I 08/19/2011 14:05:07:279 00001d54           HttpServer| Process URI: '/app/index.erb'
I 08/19/2011 14:05:07:279 00001d54                  APP| RHO serve_index: /app/index.erb
I 08/19/2011 14:05:07:279 00001d54 RHO Rho::RhoController| inst_render_index
I 08/19/2011 14:05:07:282 00001d54              RhoRuby| require_compiled: erb
I 08/19/2011 14:05:07:289 00001d54                  APP| eval_compiled_file : C:/Users/ffurtmueller/workspace/git/MyDailyRhodes/MyDailyRhodes/app/index.erb
I 08/19/2011 14:05:07:289 00001d54 RHO Rho::RhoController| index layout
I 08/19/2011 14:05:07:289 00001d54                  APP| eval_compiled_file : C:/Users/ffurtmueller/workspace/git/MyDailyRhodes/MyDailyRhodes/app/layout.erb
I 08/19/2011 14:05:07:292 00001d60           MainWindow| WebView: URL changed
I 08/19/2011 14:05:07:314 00001d54           HttpServer| Process URI: '/public/sencha/resources/css/sencha-touch.css'
I 08/19/2011 14:05:07:334 00001d54           HttpServer| Process URI: '/public/css/sencha.css'
I 08/19/2011 14:05:07:337 00001d54           HttpServer| Process URI: '/public/sencha/sencha-touch-debug.js'
I 08/19/2011 14:05:07:367 00001d54           HttpServer| Process URI: '/public/app/rhodes.js'
I 08/19/2011 14:05:07:369 00001d54           HttpServer| Process URI: '/public/app/account.js'
I 08/19/2011 14:05:07:372 00001d54           HttpServer| Process URI: '/public/app/contact.js'
I 08/19/2011 14:05:07:374 00001d54           HttpServer| Process URI: '/public/app/about.js'
I 08/19/2011 14:05:07:377 00001d54           HttpServer| Process URI: '/public/app/login.js'
I 08/19/2011 14:05:07:494 00001d54           HttpServer| Process URI: '/public/app/index.js'
I 08/19/2011 14:05:08:392 00001d54           HttpServer| Process URI: '/app/Saccount/alljson'
E 08/19/2011 14:05:08:394 00001d54           HttpServer| The file /app/Saccount/alljson was not found
I 08/19/2011 14:05:08:394 00001d54           HttpServer| Process URI: '/app/Scontact/alljson'
E 08/19/2011 14:05:08:394 00001d54           HttpServer| The file /app/Scontact/alljson was not found
I 08/19/2011 14:05:08:477 00001d60           MainWindow| WebView: loaded 
I 08/19/2011 14:05:09:539 00001d54           HttpServer| Process URI: '/app/Settings/logged_in'
I 08/19/2011 14:05:09:539 00001d54                  APP| RHO serve: /app/Settings/logged_in
I 08/19/2011 14:05:09:539 00001d54              RhoRuby| require_compiled: Settings/controller
I 08/19/2011 14:05:09:542 00001d54              RhoRuby| require_compiled: helpers/browser_helper
I 08/19/2011 14:05:09:544 00001d54              RhoRuby| require_compiled: json
I 08/19/2011 14:05:09:544 00001d54              RhoRuby| require_compiled: json/common
I 08/19/2011 14:05:09:549 00001d54              RhoRuby| require_compiled: json/version
I 08/19/2011 14:05:09:552 00001d54              RhoRuby| require_compiled: json/pure
I 08/19/2011 14:05:09:554 00001d54              RhoRuby| require_compiled: json/pure/generator
I 08/19/2011 14:05:18:747 00001d60           MainWindow| WebView: loading...
I 08/19/2011 14:05:18:747 00001d60           MainWindow| WebView: loaded 
I 08/19/2011 14:05:18:749 00001d60           MainWindow| WebView: loading...
I 08/19/2011 14:05:18:749 00001d60           MainWindow| WebView: loaded 
